x,z,ue
1.836730591381e-02,2.922197088885e-02,0.000000000000e+00
1.694670823274e-02,2.814555965598e-02,2.462128395140e-02
1.558184339310e-02,2.707230401462e-02,6.791768963002e-02
1.427281048240e-02,2.600244963721e-02,1.134926211354e-01
1.301970167555e-02,2.493623509626e-02,1.614969311799e-01
1.182260227507e-02,2.387389170457e-02,2.120881957836e-01
1.068159075123e-02,2.281564336079e-02,2.654294347768e-01
9.596738782012e-03,2.176170640035e-02,3.216871908466e-01
8.568111292928e-03,2.071228945193e-02,3.810287842960e-01
7.595766496403e-03,1.966759329962e-02,4.436185263843e-01
6.679755930801e-03,1.862781075088e-02,5.096126414481e-01
5.820124498907e-03,1.759312651041e-02,5.791526228555e-01
5.016910505817e-03,1.656371706000e-02,6.523567397124e-01
4.270145696141e-03,1.553975054462e-02,7.293094342240e-01
3.579855290437e-03,1.452138666463e-02,8.100484233629e-01
2.946058020806e-03,1.350877657443e-02,8.945494681634e-01
2.368766165572e-03,1.250206278749e-02,9.827090283636e-01
1.847985582976e-03,1.150137908787e-02,1.074325406566e+00
1.383715743827e-03,1.050685044846e-02,1.169079520340e+00
9.759497630440e-04,9.518592955700e-03,1.266517111179e+00
6.246744300258e-04,8.536713741263e-03,1.366034946821e+00
3.298702378179e-04,7.561310920377e-03,1.466874273151e+00
9.151141100804e-05,6.592473537106e-03,1.568125229443e+00
-9.043406768004e-05,5.630281516521e-03,1.668745925954e+00
-2.160044321348e-04,4.674805623846e-03,1.767599229713e+00
-2.852441089802e-04,3.726107430609e-03,1.863509123464e+00
-2.982036951024e-04,2.784239287829e-03,1.955337672413e+00
-2.549399365997e-04,1.849244306283e-03,2.042086599989e+00
-1.555157091781e-04,9.211563438570e-04,2.123053690285e+00
0.000000000000e+00,0.000000000000e+00,2.197996583970e+00
2.107137136943e-04,-9.101171238062e-04,2.266655042833e+00
4.757258610253e-04,-1.805093214701e-03,2.327972405476e+00
7.949491745847e-04,-2.684921036441e-03,2.380758179454e+00
1.168290313833e-03,-3.549595660963e-03,2.424460383794e+00
1.595649886614e-03,-4.399114460648e-03,2.458963098904e+00
2.076922473467e-03,-5.233477102387e-03,2.484474330343e+00
2.611996654726e-03,-6.052685543442e-03,2.501457827654e+00
3.200755040395e-03,-6.856744029091e-03,2.510567604118e+00
3.843074302758e-03,-7.645659092048e-03,2.512583819522e+00
4.538825211714e-03,-8.419439553626e-03,2.508353843728e+00
5.287872672790e-03,-9.178096526632e-03,2.498742090255e+00
6.090075767798e-03,-9.921643419970e-03,2.484590630791e+00
6.945287798098e-03,-1.065009594491e-02,2.466690936021e+00
7.853356330406e-03,-1.136347212298e-02,2.445765822250e+00
8.814123245106e-03,-1.206179229551e-02,2.422459942753e+00
9.827424787000e-03,-1.274507913468e-02,2.397336887699e+00
1.089309161843e-02,-1.341335765610e-02,2.370881012881e+00
1.201094887475e-02,-1.406665523288e-02,2.343502365460e+00
1.318081622196e-02,-1.470500161111e-02,2.315543402009e+00
1.440250791659e-02,-1.532842892666e-02,2.287286525327e+00
1.567583286762e-02,-1.593697172337e-02,2.258961759780e+00
1.700059470046e-02,-1.653066697241e-02,2.230754123130e+00
1.837659182272e-02,-1.710955409282e-02,2.202810433841e+00
1.980361749200e-02,-1.767367497325e-02,2.175245422814e+00
2.128145988524e-02,-1.822307399466e-02,2.148147106979e+00
2.280990216980e-02,-1.875779805398e-02,2.121581438680e+00
2.438872257606e-02,-1.927789658878e-02,2.095596278201e+00
2.601769447145e-02,-1.978342160261e-02,2.070224754104e+00
2.769658643585e-02,-2.027442769121e-02,2.045488082667e+00
2.942516233813e-02,-2.075097206931e-02,2.021397917611e+00
3.120318141390e-02,-2.121311459798e-02,1.997958297287e+00
3.303039834423e-02,-2.166091781254e-02,1.975167250382e+00
3.490656333524e-02,-2.209444695083e-02,1.953018114225e+00
3.683142219852e-02,-2.251376998174e-02,1.931500612799e+00
3.880471643218e-02,-2.291895763404e-02,1.910601734810e+00
4.082618330247e-02,-2.331008342528e-02,1.890306446141e+00
4.289555592580e-02,-2.368722369073e-02,1.870598265574e+00
4.501256335111e-02,-2.405045761220e-02,1.851459727953e+00
4.717693064244e-02,-2.439986724679e-02,1.832872754953e+00
4.938837896158e-02,-2.473553755529e-02,1.814818950152e+00
5.164662565061e-02,-2.505755643020e-02,1.797279832255e+00
5.395138431445e-02,-2.536601472338e-02,1.780237017844e+00
5.630236490293e-02,-2.566100627300e-02,1.763672363084e+00
5.869927379268e-02,-2.594262792993e-02,1.747568072080e+00
6.114181386837e-02,-2.621097958328e-02,1.731906778230e+00
6.362968460341e-02,-2.646616418509e-02,1.716671603782e+00
6.616258213992e-02,-2.670828777406e-02,1.701846201832e+00
6.874019936787e-02,-2.693745949815e-02,1.687414784257e+00
7.136222600322e-02,-2.715379163604e-02,1.673362138424e+00
7.402834866514e-02,-2.735739961730e-02,1.659673634998e+00
7.673825095192e-02,-2.754840204115e-02,1.646335228738e+00
7.949161351581e-02,-2.772692069374e-02,1.633333453828e+00
8.228811413636e-02,-2.789308056388e-02,1.620655414991e+00
8.512742779239e-02,-2.804700985706e-02,1.608288775402e+00
8.800922673245e-02,-2.818884000768e-02,1.596221742221e+00
9.093318054363e-02,-2.831870568939e-02,1.584443050415e+00
9.389895621865e-02,-2.843674482358e-02,1.572941945391e+00
9.690621822121e-02,-2.854309858562e-02,1.561708164877e+00
9.995462854946e-02,-2.863791140913e-02,1.550731920384e+00
1.030438467975e-01,-2.872133098788e-02,1.540003878524e+00
