x,z,ue
4.538825211714e-03,-8.419439553626e-03,0.000000000000e+00
5.287872672790e-03,-9.178096526632e-03,8.061089292698e-02
6.090075767798e-03,-9.921643419970e-03,1.382445904420e-01
6.945287798098e-03,-1.065009594491e-02,1.921418486481e-01
7.853356330406e-03,-1.136347212298e-02,2.423854415535e-01
8.814123245106e-03,-1.206179229551e-02,2.891051388246e-01
9.827424787000e-03,-1.274507913468e-02,3.324635649181e-01
1.089309161843e-02,-1.341335765610e-02,3.726442889671e-01
1.201094887475e-02,-1.406665523288e-02,4.098422155126e-01
1.318081622196e-02,-1.470500161111e-02,4.442561304044e-01
1.440250791659e-02,-1.532842892666e-02,4.760831401810e-01
1.567583286762e-02,-1.593697172337e-02,5.055146982892e-01
1.700059470046e-02,-1.653066697241e-02,5.327339121504e-01
1.837659182272e-02,-1.710955409282e-02,5.579138515918e-01
1.980361749200e-02,-1.767367497325e-02,5.812166176749e-01
2.128145988524e-02,-1.822307399466e-02,6.027929725995e-01
2.280990216980e-02,-1.875779805398e-02,6.227823710162e-01
2.438872257606e-02,-1.927789658878e-02,6.413132681562e-01
2.601769447145e-02,-1.978342160261e-02,6.585036097722e-01
2.769658643585e-02,-2.027442769121e-02,6.744614329672e-01
2.942516233813e-02,-2.075097206931e-02,6.892855260917e-01
3.120318141390e-02,-2.121311459798e-02,7.030661107149e-01
3.303039834423e-02,-2.166091781254e-02,7.158855199697e-01
3.490656333524e-02,-2.209444695083e-02,7.278188560442e-01
3.683142219852e-02,-2.251376998174e-02,7.389346158324e-01
3.880471643218e-02,-2.291895763404e-02,7.492952782971e-01
4.082618330247e-02,-2.331008342528e-02,7.589578503258e-01
4.289555592580e-02,-2.368722369073e-02,7.679743701170e-01
4.501256335111e-02,-2.405045761220e-02,7.763923686646e-01
4.717693064244e-02,-2.439986724679e-02,7.842552909102e-01
4.938837896158e-02,-2.473553755529e-02,7.916028787493e-01
5.164662565061e-02,-2.505755643020e-02,7.984715184227e-01
5.395138431445e-02,-2.536601472338e-02,8.048945549768e-01
5.630236490293e-02,-2.566100627300e-02,8.109025764992e-01
5.869927379268e-02,-2.594262792993e-02,8.165236707715e-01
6.114181386837e-02,-2.621097958328e-02,8.217836568586e-01
6.362968460341e-02,-2.646616418509e-02,8.267062940029e-01
6.616258213992e-02,-2.670828777406e-02,8.313134700199e-01
6.874019936787e-02,-2.693745949815e-02,8.356253712159e-01
7.136222600322e-02,-2.715379163604e-02,8.396606356737e-01
7.402834866514e-02,-2.735739961730e-02,8.434364915830e-01
7.673825095192e-02,-2.754840204115e-02,8.469688821331e-01
7.949161351581e-02,-2.772692069374e-02,8.502725783364e-01
8.228811413636e-02,-2.789308056388e-02,8.533612810140e-01
8.512742779239e-02,-2.804700985706e-02,8.562477130486e-01
8.800922673245e-02,-2.818884000768e-02,8.589437028970e-01
9.093318054363e-02,-2.831870568939e-02,8.614602602497e-01
9.389895621865e-02,-2.843674482358e-02,8.638076446331e-01
9.690621822121e-02,-2.854309858562e-02,8.659954276650e-01
9.995462854946e-02,-2.863791140913e-02,8.680325496013e-01
1.030438467975e-01,-2.872133098788e-02,8.699273707414e-01
1.061735302151e-01,-2.879350827544e-02,8.716877182030e-01
1.093433337649e-01,-2.885459748243e-02,8.733209285221e-01
1.125529101779e-01,-2.890475607121e-02,8.748338864852e-01
1.158019100067e-01,-2.894414474808e-02,8.762330605612e-01
1.190899816765e-01,-2.897292745281e-02,8.775245352582e-01
1.224167715335e-01,-2.899127134545e-02,8.787140407017e-01
1.257819238917e-01,-2.899934679038e-02,8.798069796956e-01
1.291850810765e-01,-2.899732733747e-02,8.808084525040e-01
1.326258834665e-01,-2.898538970040e-02,8.817232795670e-01
1.361039695329e-01,-2.896371373193e-02,8.825560223407e-01
1.396189758763e-01,-2.893248239623e-02,8.833110024351e-01
1.431705372607e-01,-2.889188173804e-02,8.839923192054e-01
1.467582866459e-01,-2.884210084882e-02,8.846038659359e-01
1.503818552168e-01,-2.878333182961e-02,8.851493447445e-01
1.540408724105e-01,-2.871576975083e-02,8.856322803213e-01
1.577349659406e-01,-2.863961260867e-02,8.860560326070e-01
1.614637618197e-01,-2.855506127838e-02,8.864238085025e-01
1.652268843791e-01,-2.846231946415e-02,8.867386726981e-01
1.690239562859e-01,-2.836159364572e-02,8.870035576985e-01
1.728545985581e-01,-2.825309302163e-02,8.872212731138e-01
1.767184305774e-01,-2.813702944919e-02,8.873945142843e-01
1.806150700991e-01,-2.801361738100e-02,8.875258702947e-01
1.845441332605e-01,-2.788307379821e-02,8.876178314347e-01
1.885052345866e-01,-2.774561814038e-02,8.876727961552e-01
1.924979869939e-01,-2.760147223199e-02,8.876930775663e-01
1.965220017915e-01,-2.745086020567e-02,8.876809095200e-01
2.005768886812e-01,-2.729400842205e-02,8.876384523180e-01
2.046622557546e-01,-2.713114538642e-02,8.875677980821e-01
2.087777094888e-01,-2.696250166203e-02,8.874709758216e-01
2.129228547402e-01,-2.678830978022e-02,8.873499562322e-01
2.170972947359e-01,-2.660880414739e-02,8.872066562592e-01
2.213006310649e-01,-2.642422094874e-02,8.870429434540e-01
2.255324636658e-01,-2.623479804903e-02,8.868606401569e-01
2.297923908141e-01,-2.604077489023e-02,8.866615275354e-01
2.340800091083e-01,-2.584239238621e-02,8.864473495084e-01
2.383949134534e-01,-2.563989281454e-02,8.862198165879e-01
2.427366970445e-01,-2.543351970542e-02,8.859806096719e-01
2.471049513481e-01,-2.522351772787e-02,8.857313838203e-01
2.514992660833e-01,-2.501013257322e-02,8.854737720543e-01
2.559192292013e-01,-2.479361083603e-02,8.852093892178e-01
2.603644268642e-01,-2.457419989243e-02,8.849398359474e-01
2.648344434234e-01,-2.435214777614e-02,8.846667028029e-01
2.693288613966e-01,-2.412770305209e-02,8.843915746174e-01
2.738472614451e-01,-2.390111468789e-02,8.841160351383e-01
2.783892223501e-01,-2.367263192317e-02,8.838416720397e-01
2.829543209883e-01,-2.344250413693e-02,8.835700824101e-01
2.875421323085e-01,-2.321098071300e-02,8.833028788324e-01
2.921522293064e-01,-2.297831090380e-02,8.830416962099e-01
2.967841830009e-01,-2.274474369241e-02,8.827881995236e-01
3.014375624093e-01,-2.251052765317e-02,8.825440927581e-01
3.061119345235e-01,-2.227591081094e-02,8.823111292964e-01
3.108068642860e-01,-2.204114049905e-02,8.820911241768e-01
3.155219145660e-01,-2.180646321626e-02,8.818859687227e-01
3.202566461371e-01,-2.157212448263e-02,8.816976482279e-01
3.250106176545e-01,-2.133836869476e-02,8.815282636189e-01
3.297833856330e-01,-2.110543898018e-02,8.813800583583e-01
3.345745044264e-01,-2.087357705136e-02,8.812554523643e-01
3.393835262072e-01,-2.064302305929e-02,8.811570854755e-01
3.442100009473e-01,-2.041401544691e-02,8.810878741714e-01
3.490534764002e-01,-2.018679080239e-02,8.810510871208e-01
3.539134980836e-01,-1.996158371263e-02,8.810504481995e-01
3.587896092641e-01,-1.973862661692e-02,8.810902808661e-01
3.636813509422e-01,-1.951814966105e-02,8.811757171646e-01
3.685882618396e-01,-1.930038055206e-02,8.813130123655e-01
3.735098783874e-01,-1.908554441358e-02,8.815100420277e-01
3.784457347158e-01,-1.887386364223e-02,8.817771364149e-01
3.833953626459e-01,-1.866555776496e-02,8.821285951392e-01
3.883582916825e-01,-1.846084329766e-02,8.825857279156e-01
3.933340490089e-01,-1.825993360509e-02,8.831841991116e-01
3.983221594837e-01,-1.806303876243e-02,8.840179100557e-01
4.033771378460e-01,-1.786880778096e-02,8.852141138960e-01
4.084709736331e-01,-1.767231583841e-02,8.864255618314e-01
4.135752650602e-01,-1.747331970208e-02,8.872977103397e-01
4.186894786966e-01,-1.727197239049e-02,8.879472691448e-01
4.238130795079e-01,-1.706842574146e-02,8.884661150129e-01
4.289455308970e-01,-1.686283031416e-02,8.888911318488e-01
4.340862947472e-01,-1.665533529286e-02,8.892433994067e-01
4.392348314655e-01,-1.644608839262e-02,8.895367386344e-01
4.443906000265e-01,-1.623523576705e-02,8.897809751784e-01
4.495530580182e-01,-1.602292191808e-02,8.899834862750e-01
4.547216616881e-01,-1.580928960809e-02,8.901500346707e-01
4.598958659900e-01,-1.559447977429e-02,8.902852595564e-01
4.650751246323e-01,-1.537863144553e-02,8.903929849600e-01
