x,z,ue
1.182260227507e-02,2.387389170457e-02,0.000000000000e+00
1.301970167555e-02,2.493623509626e-02,4.315480562102e-02
1.427281048240e-02,2.600244963721e-02,8.573652009485e-02
1.558184339310e-02,2.707230401462e-02,1.261144928572e-01
1.694670823274e-02,2.814555965598e-02,1.644313106922e-01
1.836730591381e-02,2.922197088885e-02,2.008215713875e-01
1.984353039616e-02,3.030128510570e-02,2.354116989143e-01
2.137526864701e-02,3.138324293381e-02,2.683199775157e-01
2.296240060128e-02,3.246757840993e-02,2.996567400327e-01
2.460479912237e-02,3.355401915965e-02,3.295246610140e-01
2.630232996330e-02,3.464228658135e-02,3.580191172708e-01
2.805485172861e-02,3.573209603437e-02,3.852285880481e-01
2.986221583685e-02,3.682315703154e-02,4.112350743812e-01
3.172426648392e-02,3.791517343561e-02,4.361145228962e-01
3.364084060746e-02,3.900784365963e-02,4.599372436518e-01
3.561176785211e-02,4.010086087090e-02,4.827683148985e-01
3.763687053608e-02,4.119391319855e-02,5.046679700857e-01
3.971596361895e-02,4.228668394436e-02,5.256919642651e-01
4.184885467084e-02,4.337885179673e-02,5.458919183694e-01
4.403534384305e-02,4.447009104764e-02,5.653156408019e-01
4.627522384043e-02,4.556007181239e-02,5.840074264529e-01
4.856827989532e-02,4.664846025181e-02,6.020083337259e-01
5.091428974338e-02,4.773491879706e-02,6.193564404642e-01
5.331302360138e-02,4.881910637641e-02,6.360870798649e-01
5.576424414692e-02,4.990067864424e-02,6.522330575758e-01
5.826770650042e-02,5.097928821166e-02,6.678248512182e-01
6.082315820920e-02,5.205458487888e-02,6.828907935831e-01
6.343033923396e-02,5.312621586899e-02,6.974572407232e-01
6.608898193770e-02,5.419382606287e-02,7.115487261176e-01
6.879881107709e-02,5.525705823527e-02,7.251881020272e-01
7.155954379646e-02,5.631555329162e-02,7.383966690929e-01
7.437088962450e-02,5.736895050555e-02,7.511942951598e-01
7.723255047367e-02,5.841688775678e-02,7.635995242395e-01
8.014422064247e-02,5.945900176932e-02,7.756296764541e-01
8.310558682064e-02,6.049492834969e-02,7.873009397377e-01
8.611632809730e-02,6.152430262505e-02,7.986284540083e-01
8.917611597215e-02,6.254675928092e-02,8.096263884629e-01
9.228461436979e-02,6.356193279841e-02,8.203080125908e-01
9.544147965716e-02,6.456945769080e-02,8.306857614522e-01
9.864636066421e-02,6.556896873909e-02,8.407712957149e-01
1.018988987078e-01,6.656010122661e-02,8.505755569039e-01
1.051987276191e-01,6.754249117224e-02,8.601088182740e-01
1.085454737738e-01,6.851577556223e-02,8.693807316800e-01
1.119387561262e-01,6.947959258044e-02,8.784003707848e-01
1.153781862468e-01,7.043358183664e-02,8.871762709154e-01
1.188633683624e-01,7.137738459300e-02,8.957164658477e-01
1.223938994010e-01,7.231064398829e-02,9.040285217773e-01
1.259693690386e-01,7.323300525987e-02,9.121195687072e-01
1.295893597508e-01,7.414411596313e-02,9.199963294667e-01
1.332534468672e-01,7.504362618832e-02,9.276651465511e-01
1.369611986291e-01,7.593118877462e-02,9.351320069608e-01
1.407121762509e-01,7.680645952121e-02,9.424025651962e-01
1.445059339852e-01,7.766909739532e-02,9.494821645557e-01
1.483420191902e-01,7.851876473697e-02,9.563758568685e-01
1.522199724023e-01,7.935512746038e-02,9.630884207813e-01
1.561393274099e-01,8.017785525189e-02,9.696243787101e-01
1.600996113322e-01,8.098662176424e-02,9.759880125558e-01
1.641003447007e-01,8.178110480704e-02,9.821833782749e-01
1.681410415431e-01,8.256098653346e-02,9.882143193862e-01
1.722212094720e-01,8.332595362283e-02,9.940844794917e-01
1.763403497752e-01,8.407569745921e-02,9.997973138754e-01
