x,z,ue
5.869927379268e-02,-2.594262792993e-02,0.000000000000e+00
5.630236490293e-02,-2.566100627300e-02,2.106306229851e-02
5.395138431445e-02,-2.536601472338e-02,4.585607267454e-02
5.164662565061e-02,-2.505755643020e-02,7.180089145768e-02
4.938837896158e-02,-2.473553755529e-02,9.896801484384e-02
4.717693064244e-02,-2.439986724679e-02,1.274331177928e-01
4.501256335111e-02,-2.405045761220e-02,1.572774478432e-01
4.289555592580e-02,-2.368722369073e-02,1.885882389194e-01
4.082618330247e-02,-2.331008342528e-02,2.214591421044e-01
3.880471643218e-02,-2.291895763404e-02,2.559906686231e-01
3.683142219852e-02,-2.251376998174e-02,2.922906379606e-01
3.490656333524e-02,-2.209444695083e-02,3.304746209910e-01
3.303039834423e-02,-2.166091781254e-02,3.706663639873e-01
3.120318141390e-02,-2.121311459798e-02,4.129981741739e-01
2.942516233813e-02,-2.075097206931e-02,4.576112407577e-01
2.769658643585e-02,-2.027442769121e-02,5.046558567521e-01
2.601769447145e-02,-1.978342160261e-02,5.542914959403e-01
2.438872257606e-02,-1.927789658878e-02,6.066866855206e-01
2.280990216980e-02,-1.875779805398e-02,6.620185977731e-01
2.128145988524e-02,-1.822307399466e-02,7.204722629481e-01
1.980361749200e-02,-1.767367497325e-02,7.822392800446e-01
1.837659182272e-02,-1.710955409282e-02,8.475158719828e-01
1.700059470046e-02,-1.653066697241e-02,9.165000971133e-01
1.567583286762e-02,-1.593697172337e-02,9.893879911044e-01
1.440250791659e-02,-1.532842892666e-02,1.066368374426e+00
1.318081622196e-02,-1.470500161111e-02,1.147616025433e+00
1.201094887475e-02,-1.406665523288e-02,1.233282895100e+00
1.089309161843e-02,-1.341335765610e-02,1.323487038701e+00
9.827424787000e-03,-1.274507913468e-02,1.418298979675e+00
8.814123245106e-03,-1.206179229551e-02,1.517725325459e+00
7.853356330406e-03,-1.136347212298e-02,1.621689654470e+00
6.945287798098e-03,-1.065009594491e-02,1.730011021492e+00
6.090075767798e-03,-9.921643419970e-03,1.842380917008e+00
5.287872672790e-03,-9.178096526632e-03,1.958340180953e+00
4.538825211714e-03,-8.419439553626e-03,2.077258195953e+00
3.843074302758e-03,-7.645659092048e-03,2.198317594985e+00
3.200755040395e-03,-6.856744029091e-03,2.320508560450e+00
2.611996654726e-03,-6.052685543442e-03,2.442637331658e+00
2.076922473467e-03,-5.233477102387e-03,2.563353502960e+00
1.595649886614e-03,-4.399114460648e-03,2.681199901224e+00
1.168290313833e-03,-3.549595660963e-03,2.794687464306e+00
7.949491745847e-04,-2.684921036441e-03,2.902396840536e+00
4.757258610253e-04,-1.805093214701e-03,3.003113323927e+00
2.107137136943e-04,-9.101171238062e-04,3.096041577794e+00
0.000000000000e+00,0.000000000000e+00,3.181048784277e+00
-1.555157091781e-04,9.211563438570e-04,3.257932687484e+00
-2.549399365997e-04,1.849244306283e-03,3.325310881488e+00
