profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,17.3,-5,-0.56789474,-0.058763158,-5.5691449,-0.57626972
NACA-0012,17.3,-4.5,-0.51905417,-0.058717434,-5.0901826,-0.57582132
NACA-0012,17.3,-4,-0.43892612,-0.056073842,-4.3043948,-0.54989654
NACA-0012,17.3,-3.5,-0.33098336,-0.052429937,-3.2458379,-0.51416204
NACA-0012,17.3,-3,-0.20878904,-0.04856701,-2.047521,-0.47627967
NACA-0012,17.3,-2.5,-0.086258895,-0.044971089,-0.84591079,-0.44101573
NACA-0012,17.3,-2,0.06437832,-0.043217579,0.63133565,-0.42381967
NACA-0012,17.3,-1.5,0.17153409,-0.040909375,1.6821748,-0.40118392
NACA-0012,17.3,-1,0.26411695,-0.039188793,2.5901025,-0.38431078
NACA-0012,17.3,-0.5,0.37749641,-0.037830063,3.7019752,-0.37098619
NACA-0012,17.3,0,0.45029849,-0.037134105,4.4159196,-0.36416117
NACA-0012,17.3,0.5,0.54544515,-0.037749047,5.3489897,-0.37019169
NACA-0012,17.3,1,0.62549898,-0.037960309,6.1340496,-0.37226346
NACA-0012,17.3,1.5,0.76361456,-0.037515823,7.4885007,-0.36790454
NACA-0012,17.3,2,0.8474658,-0.038253937,8.3108005,-0.37514297
NACA-0012,17.3,2.5,1.0191583,-0.048013149,9.9945288,-0.47084814
NACA-0012,17.3,3,1.0809335,-0.04846092,10.600336,-0.47523929
NACA-0012,17.3,3.5,1.1570629,-0.053100099,11.346911,-0.52073409
NACA-0012,17.3,4,1.1967451,-0.04986488,11.73606,-0.48900742
NACA-0012,17.3,4.5,1.2229443,-0.045586007,11.992986,-0.44704601
NACA-0012,17.3,5,1.23,-0.043,12.062179,-0.42168595
NACA-0012,17.3,5.5,1.249,-0.0658,12.248506,-0.64527757
NACA-0012,17.3,6,1.268,-0.0886,12.434832,-0.86886919
NACA-0012,17.3,6.5,1.287,-0.1114,12.621159,-1.0924608
NACA-0012,17.3,7,1.306,-0.1342,12.807485,-1.3160524
NACA-0012,17.3,7.5,1.4413816,-0.10656579,14.135125,-1.0450534
NACA-0012,17.3,8,1.344,-0.1798,13.180138,-1.7632357
NACA-0012,17.3,8.5,1.363,-0.2026,13.366464,-1.9868273
NACA-0012,17.3,9,1.382,-0.2254,13.55279,-2.2104189
NACA-0012,17.3,9.5,1.401,-0.2482,13.739117,-2.4340105
NACA-0012,17.3,10,1.42,-0.271,13.925443,-2.6576022
NACA-0012,17.3,10.5,1.4269505,-0.26932874,13.993604,-2.6412127
NACA-0012,17.3,11,1.4526801,-0.2754916,14.245925,-2.7016497
NACA-0012,17.3,11.5,1.4346053,-0.26728947,14.068672,-2.6212143
NACA-0012,17.3,12,1.4646607,-0.30116257,14.363415,-2.9533959
NACA-0012,17.3,12.5,1.4084211,-0.30952632,13.811892,-3.0354162
NACA-0012,17.3,13,1.4652258,-0.31982839,14.368956,-3.136445
NACA-0012,17.3,13.5,1.4347368,-0.32505263,14.069962,-3.1876774
NACA-0012,17.3,14,1.4428266,-0.3208164,14.149296,-3.1461342
NACA-0012,17.3,14.5,1.4084917,-0.31276988,13.812585,-3.0672248
NACA-0012,17.3,15,1.3713294,-0.30437004,13.448147,-2.9848504
