profil,vitesse_ms,angle_deg,pression_PSI
NACA-0012,2.9,-5,-0.0020100625
NACA-0012,2.9,-4.5,-0.002014533
NACA-0012,2.9,-4,-0.0020190036
NACA-0012,2.9,-3.5,-0.0020234741
NACA-0012,2.9,-3,-0.0020279446
NACA-0012,2.9,-2.5,-0.0020324152
NACA-0012,2.9,-2,-0.0020368857
NACA-0012,2.9,-1.5,-0.0020413563
NACA-0012,2.9,-1,-0.0020458268
NACA-0012,2.9,-0.5,-0.0020502973
NACA-0012,2.9,0,-0.0020547679
NACA-0012,2.9,0.5,-0.0020819073
NACA-0012,2.9,1,-0.0021090468
NACA-0012,2.9,1.5,-0.0021361862
NACA-0012,2.9,2,-0.0021633257
NACA-0012,2.9,2.5,-0.0021904652
NACA-0012,2.9,3,-0.0022176046
NACA-0012,2.9,3.5,-0.0022447441
NACA-0012,2.9,4,-0.0022718836
NACA-0012,2.9,4.5,-0.002299023
NACA-0012,2.9,5,-0.0023261625
NACA-0012,2.9,5.5,-0.002331055
NACA-0012,2.9,6,-0.0023359475
NACA-0012,2.9,6.5,-0.00234084
NACA-0012,2.9,7,-0.0023457325
NACA-0012,2.9,7.5,-0.002350625
NACA-0012,2.9,8,-0.0023555175
NACA-0012,2.9,8.5,-0.00236041
NACA-0012,2.9,9,-0.0023653025
NACA-0012,2.9,9.5,-0.002370195
NACA-0012,2.9,10,-0.0023750875
NACA-0012,2.9,10.5,-0.002456828
NACA-0012,2.9,11,-0.0026686075
NACA-0012,2.9,11.5,-0.0029485922
NACA-0012,2.9,12,-0.003245186
NACA-0012,2.9,12.5,-0.0035279161
NACA-0012,2.9,13,-0.0037834563
NACA-0012,2.9,13.5,-0.0040085658
NACA-0012,2.9,14,-0.0042047888
NACA-0012,2.9,14.5,-0.0043754328
NACA-0012,2.9,15,-0.0045241096
