profil,vitesse_ms,angle_deg,CL,CD,pression_PSI
NACA-0012,2.1,-5,0.50828118,0,
NACA-0012,2.1,-4.5,0.51554234,0,
NACA-0012,2.1,-4,0.5228035,0,
NACA-0012,2.1,-3.5,0.53006466,0,
NACA-0012,2.1,-3,0.53732582,0,
NACA-0012,2.1,-2.5,0.54458698,0,
NACA-0012,2.1,-2,0.55184814,0,
NACA-0012,2.1,-1.5,0.5591093,0,
NACA-0012,2.1,-1,0.56637046,0,
NACA-0012,2.1,-0.5,0.57363162,0,
NACA-0012,2.1,0,0.58089278,0,
NACA-0012,2.1,0.5,0.58815394,0,
NACA-0012,2.1,1,0.5954151,0,
NACA-0012,2.1,1.5,0.60267626,0,
NACA-0012,2.1,2,0.60993741,0,
NACA-0012,2.1,2.5,0.61719857,0,
NACA-0012,2.1,3,0.62445973,0,
NACA-0012,2.1,3.5,0.63172089,0,
NACA-0012,2.1,4,0.63898205,0,
NACA-0012,2.1,4.5,0.64624321,0,
NACA-0012,2.1,5,0.65350437,0,
NACA-0012,2.1,5.5,0.66076553,0,
NACA-0012,2.1,6,0.66802669,0,
NACA-0012,2.1,6.5,0.67528785,0,
NACA-0012,2.1,7,0.68254901,0,
NACA-0012,2.1,7.5,0.68981017,0,
NACA-0012,2.1,8,0.66711905,-0.0013614674,
NACA-0012,2.1,8.5,0.64442792,-0.0027229349,
NACA-0012,2.1,9,0.6217368,-0.0040844023,
NACA-0012,2.1,9.5,0.59904568,-0.0054458698,
NACA-0012,2.1,10,0.57635455,-0.0068073372,
NACA-0012,2.1,10.5,0.55366343,-0.0081688047,
NACA-0012,2.1,11,0.5309723,-0.0095302721,
NACA-0012,2.1,11.5,0.50828118,-0.01089174,
NACA-0012,2.1,12,0.59904568,-0.01089174,
NACA-0012,2.1,12.5,0.68981017,-0.01089174,
NACA-0012,2.1,13,0.65350437,-0.01089174,
NACA-0012,2.1,13.5,0.61719857,-0.01089174,
NACA-0012,2.9,-20,,,-0.0019245375
NACA-0012,2.9,-19.5,,,-0.0019293362
NACA-0012,2.9,-19,,,-0.001934135
NACA-0012,2.9,-18.5,,,-0.0019389337
NACA-0012,2.9,-18,,,-0.0019437325
NACA-0012,2.9,-17.5,,,-0.0019485312
NACA-0012,2.9,-17,,,-0.00195333
NACA-0012,2.9,-16.5,,,-0.0019581287
NACA-0012,2.9,-16,,,-0.0019629275
NACA-0012,2.9,-15.5,,,-0.0019677262
NACA-0012,2.9,-15,,,-0.001972525
NACA-0012,2.9,-14.5,,,-0.0019773237
NACA-0012,2.9,-14,,,-0.0019821225
NACA-0012,2.9,-13.5,,,-0.0019869212
NACA-0012,2.9,-13,,,-0.00199172
NACA-0012,2.9,-12.5,,,-0.0019965187
NACA-0012,2.9,-12,,,-0.0020013175
NACA-0012,2.9,-11.5,,,-0.0020061162
NACA-0012,2.9,-11,,,-0.002010915
NACA-0012,2.9,-10.5,,,-0.0020157137
NACA-0012,2.9,-10,,,-0.0020205125
NACA-0012,2.9,-9.5,,,-0.0020194675
NACA-0012,2.9,-9,,,-0.0020184225
NACA-0012,2.9,-8.5,,,-0.0020173775
NACA-0012,2.9,-8,,,-0.0020163325
NACA-0012,2.9,-7.5,,,-0.0020152875
NACA-0012,2.9,-7,,,-0.0020142425
NACA-0012,2.9,-6.5,,,-0.0020131975
NACA-0012,2.9,-6,,,-0.0020121525
NACA-0012,2.9,-5.5,,,-0.0020111075
NACA-0012,2.9,-5,,,-0.0020100625
NACA-0012,2.9,-4.5,,,-0.002014533
NACA-0012,2.9,-4,,,-0.0020190036
NACA-0012,2.9,-3.5,,,-0.0020234741
NACA-0012,2.9,-3,,,-0.0020279446
NACA-0012,2.9,-2.5,,,-0.0020324152
NACA-0012,2.9,-2,,,-0.0020368857
NACA-0012,2.9,-1.5,,,-0.0020413563
NACA-0012,2.9,-1,,,-0.0020458268
NACA-0012,2.9,-0.5,,,-0.0020502973
NACA-0012,2.9,0,0.3807576,0,-0.0020547679
NACA-0012,2.9,0.5,0.36838298,-9.51894e-05,-0.0020819073
NACA-0012,2.9,1,0.35600836,-0.0001903788,-0.0021090468
NACA-0012,2.9,1.5,0.34363374,-0.0002855682,-0.0021361862
NACA-0012,2.9,2,0.33125911,-0.0003807576,-0.0021633257
NACA-0012,2.9,2.5,0.31888449,-0.000475947,-0.0021904652
NACA-0012,2.9,3,0.30650987,-0.0005711364,-0.0022176046
NACA-0012,2.9,3.5,0.29413525,-0.0006663258,-0.0022447441
NACA-0012,2.9,4,0.28176063,-0.0007615152,-0.0022718836
NACA-0012,2.9,4.5,0.269386,-0.0008567046,-0.002299023
NACA-0012,2.9,5,0.25701138,-0.000951894,-0.0023261625
NACA-0012,2.9,5.5,0.25605949,-0.0019989774,-0.002331055
NACA-0012,2.9,6,0.25510759,-0.0030460608,-0.0023359475
NACA-0012,2.9,6.5,0.2541557,-0.0040931442,-0.00234084
NACA-0012,2.9,7,0.2532038,-0.0051402276,-0.0023457325
NACA-0012,2.9,7.5,0.25225191,-0.006187311,-0.002350625
NACA-0012,2.9,8,0.25130002,-0.0072343944,-0.0023555175
NACA-0012,2.9,8.5,0.25034812,-0.0082814778,-0.00236041
NACA-0012,2.9,9,0.24939623,-0.0093285612,-0.0023653025
NACA-0012,2.9,9.5,0.24844433,-0.010375645,-0.002370195
NACA-0012,2.9,10,0.24749244,-0.011422728,-0.0023750875
NACA-0012,2.9,10.5,0.25034812,-0.011708296,
NACA-0012,2.9,11,0.2532038,-0.011993864,
NACA-0012,2.9,11.5,0.25605949,-0.012279433,
NACA-0012,2.9,12,0.25891517,-0.012565001,
NACA-0012,2.9,12.5,0.26177085,-0.012850569,
NACA-0012,2.9,13,0.26462653,-0.013136137,
NACA-0012,2.9,13.5,0.26748222,-0.013421705,
NACA-0012,2.9,14,0.2703379,-0.013707274,
NACA-0012,2.9,14.5,0.27319358,-0.013992842,
NACA-0012,2.9,15,0.27604926,-0.01427841,
NACA-0012,2.9,15.5,,,
NACA-0012,2.9,16,,,
NACA-0012,2.9,16.5,,,
