profil,vitesse_ms,angle_deg,CL,CD,pression_PSI
NACA-0012,2.1,-5,0.50828118,0,
NACA-0012,2.1,7.5,0.68981017,0,
NACA-0012,2.1,11.5,0.50828118,-0.01089174,
NACA-0012,2.1,12.5,0.68981017,-0.01089174,
NACA-0012,2.1,13.5,0.61719857,-0.01089174,
NACA-0012,2.9,-20,,,-0.0019245375
NACA-0012,2.9,-10,,,-0.0020205125
NACA-0012,2.9,-5,,,-0.0020100625
NACA-0012,2.9,0,0.3807576,0,-0.0020547679
NACA-0012,2.9,5,0.25701138,-0.000951894,-0.0023261625
NACA-0012,2.9,10,0.24749244,-0.011422728,-0.0023750875
NACA-0012,2.9,15,0.27604926,-0.01427841,
NACA-0012,2.9,20,,,-0.002438125
NACA-0012,5.2,-5,0.0473694,-0.003552705,
NACA-0012,5.2,7.5,0.17171407,-0.00473694,
NACA-0012,5.2,11.5,0.13026585,-0.01421082,
NACA-0012,5.2,12.5,0.15395055,-0.014802937,
NACA-0012,5.2,13.5,0.15395055,-0.015395055,
NACA-0012,5.9,-20,,,-0.0037889875
NACA-0012,5.9,-10,,,-0.0037701375
NACA-0012,5.9,-5,,,-0.0038116125
NACA-0012,5.9,0,0.087390487,-0.0022997497,-0.004348825
NACA-0012,5.9,5,0.10808823,-0.0022997497,-0.0052285179
NACA-0012,5.9,10,0.10578848,-0.013798498,-0.0061310625
NACA-0012,5.9,15,0.11498748,-0.019087922,
NACA-0012,5.9,20,,,-0.0056852708
NACA-0012,8.2,-5,0,-0.003571726,
NACA-0012,8.2,7.5,0.11191408,-0.003571726,
NACA-0012,8.2,11.5,0.080959123,-0.014525019,
NACA-0012,8.2,12.5,0.10000833,-0.01595371,
NACA-0012,8.2,13.5,0.097627178,-0.01642994,
NACA-0012,8.9,-20,,,-0.0067205
NACA-0012,8.9,-10,,,-0.006663875
NACA-0012,8.9,-5,,,-0.0068254875
NACA-0012,8.9,0,0.047500965,-0.0021223835,-0.00828525
NACA-0012,8.9,5,0.080852706,-0.0024255812,-0.010165162
NACA-0012,8.9,10,0.082874024,-0.014351355,-0.012289698
NACA-0012,8.9,15,0.090959294,-0.019505715,
NACA-0012,8.9,20,,,-0.011148625
NACA-0012,11.2,-5,-0.015316509,-0.0033185769,
NACA-0012,11.2,7.5,0.09572818,-0.0033185769,
NACA-0012,11.2,11.5,0.077858919,-0.015444146,
NACA-0012,11.2,12.5,0.079135295,-0.015827059,
NACA-0012,11.2,13.5,0.079135295,-0.01684816,
NACA-0012,12,-20,,,-0.010328513
NACA-0012,12,-10,,,-0.01049475
NACA-0012,12,-5,,,-0.010614513
NACA-0012,12,0,0.03724748,-0.0021681369,-0.013028073
NACA-0012,12,5,0.07227123,-0.0024461032,-0.016900625
NACA-0012,12,10,0.080610218,-0.01417628,-0.021362885
NACA-0012,12,11,,,-0.017250013
NACA-0012,12,15,0.077274623,-0.019513232,
NACA-0012,12,20,,,-0.018445975
NACA-0012,14.2,-5,-0.024614986,-0.0031761272,
NACA-0012,14.2,7.5,0.087343498,-0.003096724,
NACA-0012,14.2,11.5,0.075433021,-0.015642426,
NACA-0012,14.2,12.5,0.082579307,-0.016754071,
NACA-0012,14.2,13.5,0.07940318,-0.0174687,
NACA-0012,15,0,0.027752152,-0.0020636216,
NACA-0012,15,5,0.06831299,-0.002348259,
NACA-0012,15,10,0.081121676,-0.014943467,
NACA-0012,15,15,0.077563708,-0.02017368,
NACA-0012,17.3,5,0.065800242,-0.0023003336,
NACA-0012,17.3,10,0.075964506,-0.014497452,
NACA-0012,18,-5,-0.032120547,-0.0031132222,
NACA-0012,18,7.5,0.082525097,-0.0029649735,
NACA-0012,18,11.5,0.076100988,-0.015516695,
NACA-0012,18,12.5,0.069676878,-0.016850933,
NACA-0012,18,13.5,0.07659515,-0.01714743,
NACA-4412,0.6,-10,,,-0.0013921125
NACA-4412,0.6,-5,,,-0.0013764625
NACA-4412,0.6,0,,,-0.0013944625
NACA-4412,0.6,3,,,-0.001364075
NACA-4412,0.6,6,,,-0.0013168375
NACA-4412,0.6,9,,,-0.0013815875
NACA-4412,0.6,12,,,-0.0013666979
NACA-4412,0.6,15,,,-0.0013855625
NACA-4412,0.6,20,,,-0.0014011375
NACA-4412,2.1,-15,,,-0.0017366625
NACA-4412,2.1,-10,,,-0.0018247857
NACA-4412,2.1,-5,,,-0.001798175
NACA-4412,2.1,0,,,-0.0017711354
NACA-4412,2.1,3,,,-0.0017872625
NACA-4412,2.1,6,,,-0.0017711354
NACA-4412,2.1,9,,,-0.0018068542
NACA-4412,2.1,12,,,-0.0018183646
NACA-4412,2.1,15,,,-0.0017701
NACA-4412,2.1,20,,,-0.0017448125
NACA-4412,2.9,6,-0.0951894,-0.001903788,
NACA-4412,2.9,7.5,0.15230304,-0.001903788,
NACA-4412,2.9,10.5,-0.0951894,-0.007615152,
NACA-4412,2.9,12.5,0.24749244,-0.007615152,
NACA-4412,2.9,14.5,0.11422728,-0.007615152,
NACA-4412,2.9,17.5,0.2855682,-0.015230304,
NACA-4412,3.6,-15,,,-0.0026306125
NACA-4412,3.6,-10,,,-0.0026541
NACA-4412,3.6,-5,,,-0.0026451625
NACA-4412,3.6,0,,,-0.00257105
NACA-4412,3.6,3,,,-0.002621375
NACA-4412,3.6,6,,,-0.0026769792
NACA-4412,3.6,9,,,-0.002618475
NACA-4412,3.6,12,,,-0.00280155
NACA-4412,3.6,15,,,-0.0026451375
NACA-4412,3.6,20,,,-0.00265395
NACA-4412,5.2,-15,,,-0.0039701771
NACA-4412,5.2,-10,,,-0.0038010375
NACA-4412,5.2,-5,,,-0.0038562917
NACA-4412,5.2,0,,,-0.0038484875
NACA-4412,5.2,3,,,-0.003779
NACA-4412,5.2,6,,,-0.0038821
NACA-4412,5.2,9,,,-0.0040643125
NACA-4412,5.2,12,,,-0.0043924167
NACA-4412,5.2,15,,,-0.003882875
NACA-4412,5.2,20,,,-0.0037437375
NACA-4412,5.9,0,0,-0.0027596996,
NACA-4412,5.9,2.5,0.073591989,-0.0041395494,
NACA-4412,5.9,6,0.022997497,-0.0078191488,
NACA-4412,5.9,7.5,0.087390487,-0.0082790988,
NACA-4412,5.9,10.5,0.022997497,-0.015638298,
NACA-4412,5.9,12.5,0.11498748,-0.019777847,
NACA-4412,5.9,14.5,0.082790988,-0.021617647,
NACA-4412,5.9,17.5,0.12418648,-0.025757196,
NACA-4412,6.7,-20,,,-0.0048193437
NACA-4412,6.7,-15,,,-0.005134239
NACA-4412,6.7,-13,,,-0.0048409
NACA-4412,6.7,-11,,,-0.0048576
NACA-4412,6.7,-10,,,-0.0054491125
NACA-4412,6.7,-8,,,-0.0048011625
NACA-4412,6.7,-7,,,-0.0048687812
NACA-4412,6.7,-5,,,-0.0051608421
NACA-4412,6.7,0,,,-0.0048482292
NACA-4412,6.7,3,,,-0.00520925
NACA-4412,6.7,5,,,-0.00476395
NACA-4412,6.7,6,,,-0.0054865938
NACA-4412,6.7,7,,,-0.005113825
NACA-4412,6.7,8,,,-0.005175925
NACA-4412,6.7,9,,,-0.005477875
NACA-4412,6.7,10,,,-0.0055754375
NACA-4412,6.7,11,,,-0.0056100375
NACA-4412,6.7,12,,,-0.0055523711
NACA-4412,6.7,13,,,-0.0055870625
NACA-4412,6.7,14,,,-0.0058368125
NACA-4412,6.7,15,,,-0.0056219201
NACA-4412,6.7,16,,,-0.005726925
NACA-4412,6.7,17,,,-0.00563785
NACA-4412,6.7,18,,,-0.005464
NACA-4412,6.7,19,,,-0.0053570125
NACA-4412,6.7,20,,,-0.0053638969
NACA-4412,8.2,-15,,,-0.0077317188
NACA-4412,8.2,-10,,,-0.0074833125
NACA-4412,8.2,-5,,,-0.0074785875
NACA-4412,8.2,0,,,-0.0072358958
NACA-4412,8.2,3,,,-0.0072970875
NACA-4412,8.2,6,,,-0.0077094107
NACA-4412,8.2,9,,,-0.0084051667
NACA-4412,8.2,12,,,-0.008765525
NACA-4412,8.2,15,,,-0.009368775
NACA-4412,8.2,20,,,-0.0070979643
NACA-4412,8.9,0,0.040426353,-0.00020213177,
NACA-4412,8.9,2.5,0.097023247,-0.0032341082,
NACA-4412,8.9,6,0.086916659,-0.0040426353,
NACA-4412,8.9,7.5,0.12330038,-0.0030319765,
NACA-4412,8.9,10.5,0.076810071,-0.016170541,
NACA-4412,8.9,12.5,0.092980612,-0.020213177,
NACA-4412,8.9,14.5,0.080852706,-0.022840889,
NACA-4412,8.9,17.5,0.09500193,-0.027085657,
NACA-4412,9.7,-15,,,-0.010041911
NACA-4412,9.7,-10,,,-0.00979135
NACA-4412,9.7,-5,,,-0.009959525
NACA-4412,9.7,0,,,-0.0094810625
NACA-4412,9.7,3,,,-0.0096346562
NACA-4412,9.7,6,,,-0.010045137
NACA-4412,9.7,9,,,-0.010972425
NACA-4412,9.7,12,,,-0.0118335
NACA-4412,9.7,15,,,-0.0092086875
NACA-4412,9.7,20,,,-0.0093380804
NACA-4412,11.2,-15,,,-0.012810513
NACA-4412,11.2,-10,,,-0.012636464
NACA-4412,11.2,-5,,,-0.012719063
NACA-4412,11.2,0,,,-0.011886913
NACA-4412,11.2,3,,,-0.01225175
NACA-4412,11.2,6,,,-0.013053036
NACA-4412,11.2,9,,,-0.014193133
NACA-4412,11.2,12,,,-0.015152563
NACA-4412,11.2,15,,,-0.014643219
