profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,18,-5,-0.65,-0.063,-6.3743225,-0.61781895
NACA-0012,18,-4.5,-0.5572,-0.06288,-5.4642654,-0.61664215
NACA-0012,18,-4,-0.4644,-0.06276,-4.5542083,-0.61546535
NACA-0012,18,-3.5,-0.3716,-0.06264,-3.6441511,-0.61428856
NACA-0012,18,-3,-0.2788,-0.06252,-2.734094,-0.61311176
NACA-0012,18,-2.5,-0.186,-0.0624,-1.8240369,-0.61193496
NACA-0012,18,-2,-0.0932,-0.06228,-0.91397978,-0.61075816
NACA-0012,18,-1.5,-0.0004,-0.06216,-0.00392266,-0.60958136
NACA-0012,18,-1,0.0924,-0.06204,0.90613446,-0.60840457
NACA-0012,18,-0.5,0.1852,-0.06192,1.8161916,-0.60722777
NACA-0012,18,0,0.278,-0.0618,2.7262487,-0.60605097
NACA-0012,18,0.5,0.3708,-0.06168,3.6363058,-0.60487417
NACA-0012,18,1,0.4636,-0.06156,4.5463629,-0.60369737
NACA-0012,18,1.5,0.5564,-0.06144,5.4564201,-0.60252058
NACA-0012,18,2,0.6492,-0.06132,6.3664772,-0.60134378
NACA-0012,18,2.5,0.742,-0.0612,7.2765343,-0.60016698
NACA-0012,18,3,0.8348,-0.06108,8.1865914,-0.59899018
NACA-0012,18,3.5,0.9276,-0.06096,9.0966485,-0.59781338
NACA-0012,18,4,1.0204,-0.06084,10.006706,-0.59663659
NACA-0012,18,4.5,1.1132,-0.06072,10.916763,-0.59545979
NACA-0012,18,5,1.206,-0.0606,11.82682,-0.59428299
NACA-0012,18,5.5,1.2988,-0.06048,12.736877,-0.59310619
NACA-0012,18,6,1.3916,-0.06036,13.646934,-0.59192939
NACA-0012,18,6.5,1.4844,-0.06024,14.556991,-0.5907526
NACA-0012,18,7,1.5772,-0.06012,15.467048,-0.5895758
NACA-0012,18,7.5,1.67,-0.06,16.377105,-0.588399
NACA-0012,18,8,1.65375,-0.09175,16.217747,-0.89976014
NACA-0012,18,8.5,1.6375,-0.1235,16.058389,-1.2111213
NACA-0012,18,9,1.62125,-0.15525,15.899031,-1.5224824
NACA-0012,18,9.5,1.605,-0.187,15.739673,-1.8338435
NACA-0012,18,10,1.58875,-0.21875,15.580315,-2.1452047
NACA-0012,18,10.5,1.5725,-0.2505,15.420957,-2.4565658
NACA-0012,18,11,1.55625,-0.28225,15.261599,-2.767927
NACA-0012,18,11.5,1.54,-0.314,15.102241,-3.0792881
NACA-0012,18,12,1.475,-0.3275,14.464809,-3.2116779
NACA-0012,18,12.5,1.41,-0.341,13.827376,-3.3440676
NACA-0012,18,13,1.48,-0.344,14.513842,-3.3734876
NACA-0012,18,13.5,1.55,-0.347,15.200307,-3.4029075
